Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
29034,00000157,false,Rx,0,7,D5,E6,09,C4,00,00,00,00,
33357,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
33573,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
33796,0000019F,false,Rx,0,8,00,00,7D,00,00,6A,88,4E,
33992,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
36928,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
37727,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
38276,00000157,false,Rx,0,7,D5,36,09,C4,00,00,00,00,
38529,00000423,false,Rx,0,8,07,1E,FF,FD,B2,A0,B2,C1,
43283,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
43510,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
43762,0000019F,false,Rx,0,8,00,00,7D,05,00,6A,88,4E,
43964,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
46632,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
46933,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
49032,00000157,false,Rx,0,7,D5,86,09,C4,00,00,00,00,
53308,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
53535,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
53786,0000019F,false,Rx,0,8,00,00,7D,0A,00,6A,88,4E,
53988,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
54140,00000435,false,Rx,0,4,FF,FF,1E,00,00,00,00,00,
56933,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
58279,00000157,false,Rx,0,7,D5,D6,09,C4,00,00,00,00,
58531,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
63336,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
63584,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
63816,0000019F,false,Rx,0,8,00,00,7D,0F,00,6A,88,4E,
64047,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
64258,00000426,false,Rx,0,8,00,10,02,01,04,16,00,40,
67044,000004F7,false,Rx,0,8,00,1F,08,00,B0,48,06,F0,
67201,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
67471,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
69228,00000157,false,Rx,0,7,D5,26,09,C4,00,00,00,00,
