Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1908219,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1908820,00000157,false,Rx,0,8,D5,67,09,C4,FF,E0,BE,80,
1909042,000001A1,false,Rx,0,8,B2,8B,34,34,99,0C,80,20,
1913972,0000019F,false,Rx,0,8,00,00,7D,0B,00,6A,90,FE,
1917948,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CB,
1918192,00000424,false,Rx,0,8,11,40,56,C8,3F,5E,AA,40,
1918339,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1918586,00000425,false,Rx,0,8,0A,D2,44,9C,3E,22,FD,10,
1918870,00000157,false,Rx,0,8,D5,B7,09,C4,FF,E0,BE,80,
1919095,000001A1,false,Rx,0,8,B2,8B,3E,34,99,0C,80,20,
1923973,0000019F,false,Rx,0,8,00,00,7D,00,00,6A,90,FE,
1927947,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
1928218,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1928895,00000157,false,Rx,0,8,D5,07,09,C4,FF,E0,BE,80,
1929150,000001A1,false,Rx,0,8,B2,CB,3C,34,99,0C,80,20,
1933969,0000019F,false,Rx,0,8,00,00,7D,05,00,6A,90,FE,
1937944,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CB,
1938217,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1938820,00000157,false,Rx,0,8,D5,57,09,C4,FF,E0,BE,80,
1939039,000001A1,false,Rx,0,8,B2,8B,42,34,99,0C,80,20,
1943293,000004F7,false,Rx,0,8,00,3C,0C,22,28,B8,06,F0,
1943968,0000019F,false,Rx,0,8,00,00,7D,0A,00,6A,90,FE,
1944212,00000419,false,Rx,0,6,5E,09,2A,E6,7E,00,00,00,
1947946,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CA,
1948242,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1948843,00000157,false,Rx,0,8,D5,A7,09,C4,FF,E0,BE,80,
1949091,000001A1,false,Rx,0,8,B2,8B,3C,34,99,0C,80,20,
1950545,0000069F,false,Rx,0,4,71,30,28,2F,00,00,00,00,
1953669,00000445,false,Rx,0,7,80,55,AA,65,04,82,00,00,
1953963,0000019F,false,Rx,0,8,00,00,7D,0F,00,6A,90,FE,
1958017,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
1958238,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1958918,00000157,false,Rx,0,8,D5,F7,09,C4,FF,E0,BE,80,
1959114,000001A1,false,Rx,0,8,B2,8B,42,34,99,0C,80,20,
1963317,00000428,false,Rx,0,8,00,00,00,7F,00,00,8F,00,
1963791,00000423,false,Rx,0,8,07,1D,00,02,B2,20,B2,D9,
1964038,0000019F,false,Rx,0,8,00,00,7D,04,00,6A,90,FE,
1967970,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CA,
1968240,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1968840,00000157,false,Rx,0,8,D5,47,09,C4,FF,E0,BE,80,
1969059,000001A1,false,Rx,0,8,B2,8B,50,34,99,0C,80,20,
1969310,00000426,false,Rx,0,8,00,A0,01,00,4B,C8,00,80,
1973966,0000019F,false,Rx,0,8,00,00,7D,09,00,6A,90,FE,
1978017,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
1978241,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1978890,00000157,false,Rx,0,8,D5,97,09,C4,FF,E0,BE,80,
1979112,000001A1,false,Rx,0,8,B2,CB,8A,34,A9,0C,80,20,
1983790,00000435,false,Rx,0,8,FF,FF,1E,6A,3B,10,00,00,
1984037,0000019F,false,Rx,0,8,00,00,7D,0E,00,6A,90,FE,
1987989,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
1988237,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1988892,00000157,false,Rx,0,8,D5,E7,09,C4,FF,E0,BE,80,
1989110,000001A1,false,Rx,0,8,B2,8B,D0,34,99,0C,80,20,
1989308,00000436,false,Rx,0,6,86,14,AB,03,FF,DC,00,00,
1993215,0000042F,false,Rx,0,2,32,20,00,00,00,00,00,00,
1993965,0000019F,false,Rx,0,8,00,00,7D,03,00,6A,90,FE,
1994234,00000511,false,Rx,0,7,04,94,EB,62,AB,DD,6C,00,
1997938,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
1998236,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1998840,00000157,false,Rx,0,8,D5,37,09,C4,FF,E0,BE,80,
1999087,000001A1,false,Rx,0,8,B2,8B,3C,34,99,0C,80,20,
2003965,0000019F,false,Rx,0,8,00,00,7D,08,00,6A,90,FE,
2007942,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2008262,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2008815,00000157,false,Rx,0,8,D5,87,09,C4,FF,E0,BE,80,
2009033,000001A1,false,Rx,0,8,B2,8B,2C,34,49,0C,80,20,
2013963,0000019F,false,Rx,0,8,00,00,7D,0D,00,6A,90,FE,
2017940,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2018165,00000424,false,Rx,0,8,11,40,56,C8,3F,5E,AA,40,
2018334,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2018555,00000425,false,Rx,0,8,0A,D2,44,9C,3E,22,FD,10,
2018787,000004AE,false,Rx,0,8,D2,B2,3C,A0,92,5A,88,84,
2019032,00000157,false,Rx,0,8,D5,D7,09,C4,FF,E0,BE,80,
2019256,000001A1,false,Rx,0,8,B2,8B,1E,34,79,0C,80,20,
2019427,000004AF,false,Rx,0,5,65,11,4B,3A,40,00,00,00,
2019639,00000659,false,Rx,0,4,26,00,03,36,00,00,00,00,
2023972,0000019F,false,Rx,0,8,00,00,7D,02,00,6A,90,FE,
2027966,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2028259,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2028840,00000157,false,Rx,0,8,D5,27,09,C4,FF,E0,BE,80,
2029061,000001A1,false,Rx,0,8,B2,8B,38,34,49,0C,80,20,
2033964,0000019F,false,Rx,0,8,00,00,7D,07,00,6A,90,FE,
2037940,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2038288,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2038860,00000157,false,Rx,0,8,D5,77,09,C4,FF,E0,BE,80,
2039084,000001A1,false,Rx,0,8,B2,8B,3C,34,99,0C,80,20,
2043338,000004F7,false,Rx,0,8,00,3C,0C,22,28,B8,06,F0,
2043960,0000019F,false,Rx,0,8,00,00,7D,0C,00,6A,90,FE,
2044207,00000419,false,Rx,0,6,5E,08,2A,E6,7E,00,00,00,
2047931,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2048279,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2048856,00000157,false,Rx,0,8,D5,C7,09,C4,FF,E0,BE,80,
2049078,000001A1,false,Rx,0,8,B2,CB,3C,34,99,0C,80,20,
2053655,00000445,false,Rx,0,7,80,55,AA,65,04,82,00,00,
2053954,0000019F,false,Rx,0,8,00,00,7D,01,00,6A,90,FE,
2057955,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2058276,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2058801,00000157,false,Rx,0,8,D5,17,09,C4,FF,E0,BE,80,
2059023,000001A1,false,Rx,0,8,B2,CB,38,34,79,0C,80,20,
2063377,00000428,false,Rx,0,8,00,00,00,7F,00,00,8F,00,
